name,album,artist,release_date,length,popularity
Pookkal Pookkum,Madharasapattinam (Original Motion Picture Soundtrack),G. V. Prakash,2010-04-04,396466,68
Unakkenna Venum Sollu,Yennai Arindhaal (Original Motion Picture Soundtrack),Harris Jayaraj,2015-01-04,308242,57
Ayyayo,Aadukalam (Original Motion Picture Soundtrack),G. V. Prakash,2010-11-08,324373,68
Aval,Manithan (Original Motion Picture Soundtrack),Santhosh Narayanan,2016-04-08,266639,64
Manasilaayo,Vettaiyan (Original Motion Picture Soundtrack),Anirudh Ravichander,2024-10-14,235629,66
Vinmeen,Thegidi (Original Motion Picture Soundtrack),Nivas K Prasanna,2014-02-05,296899,65
"Pardesiya - From ""Param Sundari""","Pardesiya (From ""Param Sundari"")",Sachin-Jigar,2025-07-30,231739,82
Kadhal Aasai,Anjaan (Original Motion Picture Soundtrack),Yuvan Shankar Raja,2014-07-25,303750,63
"Tu Pehli Tu Aakhri (From ""The Ba***ds Of Bollywood"")","Tu Pehli Tu Aakhri (From ""The Ba***ds Of Bollywood"")",Shashwat Sachdev,2025-08-29,200060,55
Mundhinam,Vaaranam Aayiram (Original Motion Picture Soundtrack),Harris Jayaraj,2008-10-08,341386,67
Iayyayo,Paruthiveeran,Yuvan Shankar Raja,2006-05-10,275017,54
Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,88
Will You Be Mine,Will You Be Mine,Shravan Sridhar,2025-05-23,187928,33
Ei Suzhali,Kodi (Original Motion Picture Soundtrack),Santhosh Narayanan,2016-10-05,217459,61
Nee Kavithaigala,Maragatha Naanayam (Original Motion Picture Soundtrack),Dhibu Ninan Thomas,2017-01-19,276250,67
Ae Yaad,Ae Yaad,Faheem Abdullah,2023-04-27,200666,67
Nee Irundhal,Nee Irundhal,Shravan Sridhar,2025-01-31,193697,37
"Adiyae Azhagae - From ""Oru Naal Koothu""","Adiyae Azhagae (From ""Oru Naal Koothu"")",Justin Prabhakaran,2015-10-08,289404,63
Die With A Smile,Die With A Smile,Lady Gaga,2024-08-16,251667,92
"Kangal Edho - From ""Chithha""","Kangal Edho (From ""Chithha"")",Dhibu Ninan Thomas,2023-08-31,242249,63
Thodu Vaanam,Anegan (Original Motion Picture Soundtrack),Harris Jayaraj,2014-11-10,315213,62
Nillayo,Oru Kadhal Megam,Various Artists,2017-03-13,252688,0
Venmegam,Yaaradi Nee Mohini (Original Motion Picture Soundtrack),Yuvan Shankar Raja,2008-10-17,274853,66
Edhirpaarthen,Edhirpaarthen,Marshall Robinson,2025-08-08,214956,32
Usure Pogudhey,Raavanan (Original Motion Picture Soundtrack),A.R. Rahman,2010-10-14,366506,63
Ulaa (feat. Sathyaprakash),Ulaa (feat. Sathyaprakash),The Non Violinist Project,2021-07-19,265287,40
Innum Konjam Naeram,Maryan (Original Motion Picture Soundtrack),A.R. Rahman,2013-05-13,313533,67
"Sajde - From ""Lost;Found""","Sajde (From ""Lost;Found"")",Faheem Abdullah,2024-05-11,460833,71
Sandalee,Sema (Original Motion Picture Soundtrack),G. V. Prakash,2017-06-09,323405,56
Raati - Madras Gig,Raati (Madras Gig),Santhosh Dhayanidhi,2018-06-28,235000,56
"Firestorm (From ""They Call Him OG"")","Firestorm (From ""They Call Him OG"")",Thaman S,2025-08-02,240309,72
"Kadhaippoma (From ""Oh My Kadavule"")","Kadhaippoma (From ""Oh My Kadavule"")",Leon James,2020-01-03,282208,67
Poi Kadhal,Poi Kadhal,Paal Payasam,2025-07-11,208252,34
Enkeyoo Partha,Yaaradi Nee Mohini (Original Motion Picture Soundtrack),Yuvan Shankar Raja,2008-10-17,320960,66
Arakkiye,Arakkiye,Mirun Pradhap,2024-09-20,227200,35
Vennilavae,Minsara Kanavu (Original Motion Picture Soundtrack),A.R. Rahman,1997-01-01,351720,0
Kaadhal Vaithu,Deepavali (Original Motion Picture Soundtrack),Yuvan Shankar Raja,2007-01-05,309000,0
Kanave Kanave,David,Various Artists,2013-01-10,284784,66
Sakara Kati,Sakara Kati,Bhuvanesh Selvanesan,2025-07-11,248571,32
"A Life Full of Love Theme (From ""3 [Tamil]"") - Instrumental",Playback: Soulful Instrumentals - Soul Stirring Tamil Instrumentals,Various Artists,2015-02-12,115853,32
Kaadhal Endral,Goa (Original Motion Picture Soundtrack),Yuvan Shankar Raja,2010-01-01,87133,57
"Ninaithu Ninaithu (From ""7/G Rainbow Colony"")","Hits of Yuvan Shankar Raja, Vol.2",Yuvan Shankar Raja,2013-07-01,274834,48
Sugar Bomb,Sugar Bomb,Rama Priya Yegasivanathan,2024-02-14,193004,29
Othaiyadi Pathayila,Kanaa (Original Motion Picture Soundtrack),Dhibu Ninan Thomas,2018-08-23,249671,68
"Oru Devathai (From ""Vaamanan"")",All About Love: Yuvanshankar Raja,Yuvan Shankar Raja,2018-08-31,296760,55
Onnum Puriyala,Kumki (Original Motion Picture Soundtrack),D. Imman,2012-07-26,259680,59
Idhayathai Yedho Ondru,Yennai Arindhaal (Original Motion Picture Soundtrack),Harris Jayaraj,2015-01-04,235391,58
I'm Just Fine,I'm Just Fine,Akira Da Rapwolf,2024-06-05,218483,30
"Sajde - From ""Lost;Found""","Sajde (From ""Lost;Found"")",Faheem Abdullah,2024-05-11,460833,71
Kadhaippoma,Oh My Kadavule (Original Motion Picture Soundtrack),Leon James,2020-02-07,282208,53
Thaarame Thaarame,Kadaram Kondan,Ghibran,2019-05-01,228214,64
Yaanji,Vikram Vedha (Original Motion Picture Soundtrack),Sam C.S.,2017-06-19,270375,57
Pazhaya Soru,Thirunaal (Orignal Motion Picture Soundtrack),Sri,2016-03-26,281880,42
"Thuli Thuli (From ""Paiya"")",MasterWorks - Yuvanshankar Raja,Yuvan Shankar Raja,2016-07-29,283346,53
Maariâ€™s Aanandhi,Maari 2 (Original Motion Picture Soundtrack),"Yuvan Shankar Raja,Dhanush,Dhee",2018-12-11,259591,0
Konjum Kili,Kedi Billa Killadi Ranga (Original Motion Picture Soundtrack),Yuvan Shankar Raja,2013-03-12,260252,47
Kaadhal kaditham,Jodi (Original Motion Picture Soundtrack),A.R. Rahman,1999-04-19,297324,48
Ennuyire,Uyire (Original Motion Picture Soundtrack),A.R. Rahman,1998-09-18,442004,0
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,141805,80
"Oru Manam (From ""Dhruva Natchathiram"")","Oru Manam (From ""Dhruva Natchathiram"")",Harris Jayaraj,2020-10-09,340254,55
"Kaathodu Kaathanen (From ""Jail"")","Kaathodu Kaathanen (From ""Jail"")",G. V. Prakash,2020-06-15,310000,46
Kaathellam,Gypsy,Santhosh Narayanan,2019-05-20,223770,46
Munbe Vaa,Silunu Oru Kadhal,A.R. Rahman,2006-08-02,356941,0
"Yaar Indha Saalai Oram (From ""Thalaivaa"")",My Playlist: G.V. Prakash Kumar,G. V. Prakash,2014-06-11,315493,46
Naan Sonnadhum Mazhai,Mayakkam Enna,G. V. Prakash,2011,329912,0
Nanbiye,Teddy (Original Motion Picture Soundtrack),D. Imman,2020-04-24,266250,48
Marandhaye,Teddy (Original Motion Picture Soundtrack),D. Imman,2020-04-24,299305,51
Yaaro Yaaro,Maattrraan (Original Motion Picture Soundtrack),Harris Jayaraj,2012-08-10,335786,56
Arabu Naadu,Thottal Poo Malarum (Original Motion Picture Soundtrack),Yuvan Shankar Raja,2007-06-30,322013,42
Malare,Premam,Rajesh Murugesan,2015-03-25,316551,59
Kadhal Yen Kadhal,Mayakkam Enna,G. V. Prakash,2011,367446,0
President,The College Dropout,JERRY,2025-07-03,111405,63
Elangathu - Duet,Pithamagan (Original Motion Picture Soundtrack),Various Artists,2013-03-31,369773,54
Oru Naalaikkul,Yaaradi Nee Mohini (Original Motion Picture Soundtrack),Yuvan Shankar Raja,2008-10-17,340066,59
Uyire Uyire,Santhosh Subramaniyam (Original Motion Picture Soundtrack),Various Artists,2008-05-21,274128,56
Mastana,Mastana,Vathshan,2025-06-26,165600,47
Nee Yeppo Pulla,Kumki (Original Motion Picture Soundtrack),D. Imman,2012-07-26,240773,57
Sollitaley Ava Kaadhala,Kumki (Original Motion Picture Soundtrack),D. Imman,2012-07-26,273706,54
Yaar Indha Saalai Oram,Thalaivaa (Original Motion Picture Soundtrack),G. V. Prakash,2013-06-21,315493,65
Pirai Thedum,Mayakkam Enna,G. V. Prakash,2011,332711,0
Closer,Closer,The Chainsmokers,2016-07-29,244960,86
Yedhedho Pennae,Meendum Oru Kadhal Kadhai (Original Motion Picture Soundtrack),G. V. Prakash,2016-04-08,279743,54
Nee Paartha Vizhigal - The Touch of Love,3 (Original Motion Picture Soundtrack),Anirudh Ravichander,2011-12-23,264506,69
Konjam -1,M.S.Dhoni - The Untold Story,Amaal Mallik,2016-09-13,173686,52
kaatukulle,kaatukulle,PAX DHARMA,2025-08-22,207567,26
Nenjukulla Nee,Vadacurry (Original Motion Picture Soundtrack),"Anirudh Ravichander,Andrea",2014-09-16,298760,0
Agayam Theepiditha,Madras (Original Motion Picture Soundtrack),Santhosh Narayanan,2014-06-23,230062,58
Vaanam Mella,Neethaane En Ponvasantham (Original Motion Picture Soundtrack),Ilaiyaraaja,2012-09-01,362893,49
Unna Vida,Virumandi,Various Artists,2003-01-10,385226,0
Para Para,Neerparavai (Original Motion Picture Soundtrack),N.R. Raghunanthan,2012-10-10,319026,61
Kan Pesum Varthaigal,7/G Rainbow Colony (Original Motion Picture Soundtrack),Yuvan Shankar Raja,2013-03-28,348290,59
Ennadi Maayavi Nee,VadaChennai (Original Motion Picture Soundtrack),Various Artists,2018-09-23,251000,0
The Life of Ram,96 (Original Motion Picture Soundtrack),Govind Vasantha,2018-08-17,354285,62
Manasellam Mazhaiye,Saguni,G. V. Prakash,2012-10-26,326495,54
Akkam Pakkam,Kireedam,G. V. Prakash,2009-10-14,316000,62
Vennilave Vennilave Vinnai,Minsara Kanavu (Original Motion Picture Soundtrack),A.R. Rahman,1997-01-01,351720,0
Oliyile Therivadhu,Azhagi (Original Motion Picture Soundtrack),Ilaiyaraaja,2001,303853,54
Ariyadha Vayasu,Paruthiveeran,Yuvan Shankar Raja,2006-05-10,229997,50
Vaartha Onnu,Thaamirabharani,Yuvan Shankar Raja,2006-11-30,315506,44
Paartha Mudhal,Vettaiaadu Vilayadu (Original Motion Picture Soundtrack),Harris Jayaraj,2006-03-08,368053,0
